"","Symbol","ID","Gene Type","CM tissueType","CM cancerType","CM cellType","CM cellName","unique","p-val","unique-fcs","total-fcs","stat"
"ENSG00000225521.1","AC005237.1",NA,"antisense","","","","","No",0.00382,0.45,0.83,"-27.17"
"ENSG00000272736.5","AC005323.2",NA,"antisense","","","","","No",0.000115,1.14,-1.85,"-27.17"
"ENSG00000235902.1","AC108472.1",NA,"antisense","","","","","No",4.19e-12,1.68,1.17,"-27.18"
"ENSG00000228043.5","AC114763.1",NA,"lincRNA","","","","","No",0.000777,0.47,2.14,"-27.19"
"ENSG00000188649.12","CC2D2B","387707","protein_coding","","","","","No",5.71e-06,0.56,2.07,"-27.19"
"ENSG00000273448.1","AC006480.2",NA,"lincRNA","","","","","No",5.13e-14,1.28,2.25,"-27.3"
"ENSG00000258667.1","LOC105370526","105370526","lincRNA","","","","","No",1.02e-12,1.16,2.69,"-27.3"
"ENSG00000232913.7","PLCE1-AS2","101927049","antisense","","","","","No",6.77e-13,2.49,1.84,"-27.31"
"ENSG00000254604.1","AP002336.2",NA,"antisense","","","","","No",1.53e-05,0.44,1.72,"-27.31"
"ENSG00000226017.2","PRICKLE2-AS3",NA,"antisense","","","","","No",9.72e-20,1.96,2.8,"-27.34"
"ENSG00000249740.2","LINC01265","101926904","lincRNA","","","","","No",8.75e-08,0.26,1.9,"-27.36"
"ENSG00000261438.1","AL157394.1",NA,"sense_overlapping","","","","","No",8.89e-06,0.6,1.53,"-27.39"
"ENSG00000173421.16","CCDC36","339834","protein_coding","","","","","No",9.91e-07,0.48,1.27,"-27.39"
"ENSG00000233559.1","LINC00513",NA,"lincRNA","","","","","No",6.88e-17,0.72,2.94,"-27.44"
"ENSG00000255968.1","AC024145.1",NA,"antisense","","","","","No",5.68e-15,1.37,2.02,"-27.45"
"ENSG00000269821.1","KCNQ1OT1","10984","antisense","","","","","No",1e-22,1.28,3.51,"-27.47"
"ENSG00000237280.1","AL136982.3",NA,"sense_intronic","","","","","No",4.87e-16,1.55,3.28,"-27.49"
"ENSG00000263307.1","AC007216.4",NA,"antisense","","","","","No",8.31e-05,0.56,1.73,"-27.5"
"ENSG00000251666.1","ZNF346-IT1",NA,"sense_intronic","","","","","No",1.26e-09,1.11,2.54,"-27.52"
"ENSG00000226759.7","DAB1-AS1","101926890","antisense","","","","","No",4.31e-05,1.11,1.32,"-27.52"
"ENSG00000226330.1","AL606489.1",NA,"antisense","","","","","No",0.00158,0.35,1.8,"-27.53"
"ENSG00000281207.1","SLFNL1-AS1","100507178","antisense","","","","","No",1.48e-14,0.83,1.79,"-27.54"
"ENSG00000275894.1","AL021578.1",NA,"sense_intronic","","","","","No",6.29e-10,0.88,0.89,"-27.57"
"ENSG00000236445.4","LINC00608",NA,"antisense","","","","","No",5.36e-09,2.03,-0.61,"-27.57"
"ENSG00000250170.1","RASA2-IT1",NA,"sense_intronic","","","","","No",6.38e-12,1.82,2.84,"-27.61"
"ENSG00000207513.1","RNU1-3","26869","snRNA","","","","","No",0.00111,0.41,1.81,"-27.61"
"ENSG00000228372.7","SMIM10L2B-AS1",NA,"lincRNA","","","","","No",0.000611,0.45,0.89,"-27.61"
"ENSG00000251441.2","RTEL1P1",NA,"processed_pseudogene","","","","","No",6.16e-05,0.25,1.77,"-27.61"
"ENSG00000215893.3","RPL23AP17",NA,"processed_pseudogene","","","","","Yes",1.56e-08,1.57,3.26,"-27.62"
"ENSG00000278181.1","AP000457.1",NA,"processed_pseudogene","","","","","No",0.000525,1.78,4.04,"-27.62"
"ENSG00000206652.1","RNU1-1","26871","snRNA","","","","","No",0.000471,0.47,1.75,"-27.64"
"ENSG00000207952.1","MIR624","693209","miRNA","","","","","No",0.00033,1.49,-0.88,"-27.66"
"ENSG00000237135.1","DDX10P1",NA,"processed_pseudogene","","","","","No",0.00374,0.51,2.21,"-27.78"
"ENSG00000228107.1","AP000692.1",NA,"sense_overlapping","","","","","No",9.44e-18,1.77,2.46,"-27.78"
"ENSG00000206181.5","ELOA2","51224","protein_coding","","","","","No",3.56e-06,1.31,1.59,"-27.79"
"ENSG00000242588.5","AC108010.1",NA,"processed_transcript","","","","","No",8.96e-07,0.09,1.87,"-27.8"
"ENSG00000227028.6","SLC8A1-AS1","100128590","antisense","","","","","No",9.64e-05,0.02,1.51,"-27.8"
"ENSG00000259807.1","AC009093.1",NA,"lincRNA","","","","","No",1.43e-06,0.85,1.86,"-27.81"
"ENSG00000280424.1","LOC730668","730668","TEC","","","","","No",3.53e-15,1.75,2.99,"-27.82"
"ENSG00000254865.1","AC100763.1",NA,"antisense","","","","","Yes",1.87e-26,2,3.27,"-27.83"
"ENSG00000271378.1","C8orf59P2",NA,"processed_pseudogene","","","","","No",2.84e-08,1.27,4.61,"-27.83"
"ENSG00000259064.2","AC091544.3",NA,"processed_pseudogene","","","","","No",8.14e-13,2.79,1.53,"-27.83"
"ENSG00000221819.5","GAS8-AS1","750","antisense","","","","","No",1.05e-07,1.07,2.22,"-27.84"
"ENSG00000237901.1","AC009161.1",NA,"processed_pseudogene","","","","","No",0.00259,1.53,4.03,"-27.84"
"ENSG00000250592.1","AC055733.2",NA,"antisense","","","","","No",2.65e-08,1.36,2.7,"-27.84"
