"","Symbol","ID","Gene Type","CM tissueType","CM cancerType","CM cellType","CM cellName","unique","p-val","unique-fcs","total-fcs","stat"
"ENSG00000270757.1","HSPE1-MOB4","100529241","protein_coding","","","","","No",5.01e-06,-0.44,-1.96,"1899.79"
"ENSG00000272772.1","AC104109.3",NA,"protein_coding","","","","","No",1.28e-05,-0.61,-1.85,"1889.62"
"ENSG00000269307.1","AC010463.1",NA,"protein_coding","","","","","No",0.000642,-0.14,-1.96,"1671.17"
"ENSG00000268643.1","AC006486.1",NA,"protein_coding","","","","","No",0.00329,-0.01,-1.64,"1315.98"
"ENSG00000118418.14","HMGN3","9324","protein_coding","","","","","No",0.00562,-0.02,-1.75,"926.72"
"ENSG00000116030.16","SUMO1","7341","protein_coding","","","","","No",0.00863,-0.14,-1.24,"794.79"
"ENSG00000112855.14","HARS2","23438","protein_coding","","","","","No",0.00175,-0.11,-1.17,"745.42"
"ENSG00000136463.7","TACO1","51204","protein_coding","","","","","No",1.87e-05,-0.44,-2.04,"717.03"
"ENSG00000110536.13","PTPMT1","114971","protein_coding","","","","","No",0.00096,-0.16,-1.23,"516.11"
"ENSG00000165898.13","ISCA2","122961","protein_coding","","","","","No",6.88e-06,-0.24,-1.37,"508.21"
"ENSG00000159079.18","CFAP298","56683","protein_coding","","","","","No",0.000443,-0.31,-1.38,"377.88"
"ENSG00000100865.14","CINP","51550","protein_coding","","","","","No",0.000864,-0.32,-1.36,"351.64"
"ENSG00000119421.6","NDUFA8","4702","protein_coding","","","","","No",0.0041,-0.32,-2.52,"307.92"
"ENSG00000147533.16","GOLGA7","51125","protein_coding","","","","","No",0.00402,-0.01,-1.32,"260.04"
"ENSG00000177868.11","SVBP","374969","protein_coding","","","","","No",0.00148,-0.58,-1.93,"228.15"
"ENSG00000005194.14","CIAPIN1","57019","protein_coding","","","","","No",6.24e-05,-0.17,-1.58,"221.4"
"ENSG00000135900.3","MRPL44","65080","protein_coding","","","","","No",5.03e-05,-0.76,-1.79,"217.02"
"ENSG00000223821.1","AL603910.1",NA,"antisense","","","","","No",4.38e-22,-0.34,-1.42,"135.58"
"ENSG00000184056.14","VPS33B","26276","protein_coding","","","","","No",0.00339,-0.12,-1.09,"126.4"
"ENSG00000255639.2","AC005833.1",NA,"protein_coding","","","","","No",1.69e-06,-0.28,-2.09,"123.8"
"ENSG00000113312.10","TTC1","7265","protein_coding","","","","","No",1.02e-07,-0.52,-1.46,"117.53"
"ENSG00000256861.1","AC048338.1",NA,"protein_coding","","","","","No",9.2e-11,-0.54,-1.41,"115.97"
"ENSG00000283580.1","AC098484.3",NA,"protein_coding","","","","","No",0.00505,-0.25,-1.27,"87.21"
"ENSG00000235238.1","SUMO2P1",NA,"processed_pseudogene","","","","","No",0.00469,-0.22,-1.44,"82.21"
"ENSG00000008324.10","SS18L2","51188","protein_coding","","","","","No",0.00118,-0.53,-1.75,"69.51"
"ENSG00000149136.8","SSRP1","6749","protein_coding","","","","","No",0.00268,-0.14,-1.4,"42.5"
"ENSG00000065427.14","KARS","3735","protein_coding","","","","","No",3.31e-08,-0.7,-1.72,"31.01"
"ENSG00000198242.13","RPL23A","6147","protein_coding","","","","","No",0.0018,-0.07,-4.47,"30.71"
"ENSG00000178913.7","TAF7","6879","protein_coding","","","","","No",0.000286,-0.44,-1.22,"27.13"
"ENSG00000123349.13","PFDN5","5204","protein_coding","","","","","No",0.000132,-0.25,-2.02,"26.07"
"ENSG00000145912.8","NHP2","55651","protein_coding","","","","","No",1.11e-05,-0.2,-2.28,"25.89"
"ENSG00000096384.19","HSP90AB1","3326","protein_coding","","","","","No",0.00592,-0.02,-1.78,"25.67"
"ENSG00000090263.15","MRPS33","51650","protein_coding","","","","","No",0.00791,-0.08,-1.56,"25.34"
"ENSG00000167863.11","ATP5PD","10476","protein_coding","","","","","No",1.51e-06,-0.34,-1.93,"25.17"
"ENSG00000148688.13","RPP30","10556","protein_coding","","","","","No",0.00126,-0.15,-0.86,"24.48"
"ENSG00000166986.13","MARS","4141","protein_coding","","","","","No",0.00395,-0.06,-1.3,"24.31"
"ENSG00000117450.13","PRDX1","5052","protein_coding","","","","","No",0.00065,-0.29,-2.49,"24.13"
"ENSG00000133983.14","COX16","51241","protein_coding","","","","","No",0.00692,-0.28,-1.72,"24.01"
"ENSG00000108561.8","C1QBP","708","protein_coding","","","","","No",2.85e-08,-0.49,-1.88,"23.17"
"ENSG00000143436.10","MRPL9","65005","protein_coding","","","","","No",0.00975,-0.33,-1.47,"22.85"
"ENSG00000256206.2","AC018523.2",NA,"protein_coding","","","","","No",0.000866,-0.36,-1.55,"22.8"
"ENSG00000241506.1","PSMC1P1",NA,"processed_pseudogene","","","","","No",3.49e-07,-0.52,-1.7,"22.79"
"ENSG00000175581.13","MRPL48","51642","protein_coding","","","","","No",0.000126,-0.3,-1.25,"22.79"
"ENSG00000127184.11","COX7C","1350","protein_coding","","","","","No",8.29e-07,-0.73,-2.74,"22.78"
"ENSG00000272822.1","AC073610.3",NA,"protein_coding","","","","","No",0.00253,-0.17,-1.64,"22.77"
"ENSG00000117395.11","EBNA1BP2","10969","protein_coding","","","","","No",0.00379,-0.21,-1.65,"22.66"
"ENSG00000170515.13","PA2G4","5036","protein_coding","","","","","No",1.78e-10,-0.4,-1.61,"22.23"
"ENSG00000139579.12","NABP2","79035","protein_coding","","","","","No",0.00181,-0.21,-2.03,"21.92"
"ENSG00000174547.13","MRPL11","65003","protein_coding","","","","","No",5.82e-05,-0.12,-2.08,"21.77"
"ENSG00000198258.10","UBL5","59286","protein_coding","","","","","No",2.66e-12,-0.84,-2.63,"21.22"
"ENSG00000270617.1","URGCP-MRPS24","100534592","protein_coding","","","","","No",2.04e-07,-0.2,-2.36,"21.09"
"ENSG00000255526.6","NEDD8-MDP1","100528064","protein_coding","","","","","No",1.93e-17,-1.11,-2.52,"21.09"
"ENSG00000143947.12","RPS27A","6233","protein_coding","","","","","No",0.00113,-0.42,-2.31,"20.71"
"ENSG00000139180.10","NDUFA9","4704","protein_coding","","","","","No",0.00988,-0.04,-1.28,"20.69"
"ENSG00000148834.12","GSTO1","9446","protein_coding","","","","","No",0.00396,-0.32,-2.75,"20.02"
"ENSG00000135972.8","MRPS9","64965","protein_coding","","","","","No",0.00332,-0.24,-1.58,"19.78"
"ENSG00000132305.20","IMMT","10989","protein_coding","","","","","No",7.98e-06,-0.27,-1.36,"19.39"
"ENSG00000100902.10","PSMA6","5687","protein_coding","","","","","No",0.00109,-0.25,-1.43,"19.06"
"ENSG00000100603.13","SNW1","22938","protein_coding","","","","","No",0.000855,-0.48,-1.2,"18.84"
"ENSG00000125445.10","MRPS7","51081","protein_coding","","","","","No",9.63e-08,-0.48,-1.96,"18.03"
"ENSG00000237506.3","RPSAP15",NA,"processed_pseudogene","","","","","No",0.000233,-0.39,-2.46,"17.99"
"ENSG00000137547.8","MRPL15","29088","protein_coding","","","","","No",0.000139,-0.14,-2.2,"17.72"
"ENSG00000272921.1","AC005832.4",NA,"protein_coding","","","","","No",5.96e-05,-0.42,-1.82,"17.7"
"ENSG00000167770.11","OTUB1","55611","protein_coding","","","","","No",3.64e-07,-0.56,-2.21,"17.62"
"ENSG00000113141.16","IK","3550","protein_coding","","","","","No",1.63e-06,-0.43,-1.65,"17.55"
"ENSG00000172974.11","AC007318.1",NA,"processed_pseudogene","","","","","No",0.00019,-0.39,-2.31,"17.44"
"ENSG00000186076.5","AC012085.1",NA,"processed_pseudogene","","","","","No",0.000118,-0.4,-2.42,"17.41"
"ENSG00000075415.12","SLC25A3","5250","protein_coding","","","","","No",1.46e-09,-0.25,-1.72,"17.38"
"ENSG00000095485.16","CWF19L1","55280","protein_coding","","","","","No",0.000232,-0.23,-0.91,"17.22"
"ENSG00000163468.14","CCT3","7203","protein_coding","","","","","No",0.00528,-0.01,-1.6,"17"
"ENSG00000216285.5","AC078819.1",NA,"processed_pseudogene","","","","","No",5.33e-06,-0.32,-2.6,"16.98"
"ENSG00000140740.10","UQCRC2","7385","protein_coding","","","","","No",0.00751,-0.11,-1.44,"16.8"
"ENSG00000062582.13","MRPS24","64951","protein_coding","","","","","No",3.27e-05,-0.18,-2.46,"16.75"
"ENSG00000168653.10","NDUFS5","4725","protein_coding","","","","","No",0.00542,-0.29,-2.22,"16.73"
"ENSG00000103415.11","HMOX2","3163","protein_coding","","","","","No",0.00472,-0.29,-1.77,"16.58"
"ENSG00000214253.8","FIS1","51024","protein_coding","","","","","No",0.000457,-0.32,-2.58,"16.52"
"ENSG00000204568.11","MRPS18B","28973","protein_coding","","","","","No",1.61e-05,-0.49,-2.11,"16.5"
"ENSG00000183648.9","NDUFB1","4707","protein_coding","","","","","No",3.14e-05,-0.37,-1.69,"16.48"
"ENSG00000249209.2","AP000311.1",NA,"protein_coding","","","","","No",1.57e-09,-0.89,-2.68,"16.36"
"ENSG00000126756.11","UXT","8409","protein_coding","","","","","No",0.00949,-0.36,-2.11,"16.22"
"ENSG00000267809.1","NDUFV2P1",NA,"processed_pseudogene","","","","","No",0.00343,-0.19,-1.96,"16.11"
"ENSG00000142168.14","SOD1","6647","protein_coding","","","","","No",2.12e-06,-0.48,-2.28,"16.06"
"ENSG00000204392.10","LSM2","57819","protein_coding","","","","","No",0.00155,-0.28,-2.17,"16.05"
"ENSG00000105401.7","CDC37","11140","protein_coding","","","","","No",0.00711,-0.07,-2.26,"15.89"
"ENSG00000130520.10","LSM4","25804","protein_coding","","","","","No",0.00562,-0.3,-2.25,"15.67"
"ENSG00000259066.5","AL110118.2",NA,"protein_coding","","","","","No",0.0083,-0.2,-0.92,"15.63"
"ENSG00000278615.4","C11orf98","102288414","protein_coding","","","","","No",1.24e-07,-0.61,-2.17,"15.48"
"ENSG00000167862.9","MRPL58","3396","protein_coding","","","","","No",3.22e-06,-0.36,-1.88,"15.38"
"ENSG00000125743.10","SNRPD2","6633","protein_coding","","","","","No",8.56e-06,-0.05,-2.4,"15.37"
"ENSG00000129084.17","PSMA1","5682","protein_coding","","","","","No",0.000522,-0.28,-1.45,"15.12"
"ENSG00000256646.7","AC010132.3",NA,"protein_coding","","","","","Yes",2.38e-08,-0.78,-2.04,"14.94"
"ENSG00000107874.10","CUEDC2","79004","protein_coding","","","","","No",0.000549,-0.27,-2.53,"14.89"
"ENSG00000091732.15","ZC3HC1","51530","protein_coding","","","","","No",0.00738,-0.37,-1.38,"14.84"
"ENSG00000171202.6","TMEM126A","84233","protein_coding","","","","","No",0.00142,-0.32,-1.56,"14.7"
"ENSG00000266472.5","MRPS21","54460","protein_coding","","","","","No",0.000727,-0.39,-1.88,"14.65"
"ENSG00000186468.12","RPS23","6228","protein_coding","","","","","No",0.00114,-0.41,-1.89,"14.62"
"ENSG00000142230.11","SAE1","10055","protein_coding","","","","","No",0.00204,-0.38,-1.44,"14.58"
"ENSG00000138107.12","ACTR1A","10121","protein_coding","","","","","No",2.19e-05,-0.25,-1.48,"14.55"
"ENSG00000100938.17","GMPR2","51292","protein_coding","","","","","No",0.000931,-0.21,-1.2,"14.52"
"ENSG00000168439.16","STIP1","10963","protein_coding","","","","","No",6.58e-05,-0.44,-1.73,"14.5"
"ENSG00000211450.9","SELENOH","280636","protein_coding","","","","","No",3.18e-06,-0.18,-2.09,"14.44"
"ENSG00000273269.1","AC073283.3",NA,"protein_coding","","","","","No",3.56e-06,-0.61,-2.6,"14.37"
"ENSG00000169371.13","SNUPN","10073","protein_coding","","","","","No",0.000111,-0.19,-1.35,"14.19"
"ENSG00000188612.11","SUMO2","6613","protein_coding","","","","","No",0.00416,-0.39,-1.32,"13.96"
"ENSG00000177855.8","CACYBPP2",NA,"processed_pseudogene","","","","","No",0.00729,-0.21,-1.84,"13.8"
"ENSG00000102103.15","PQBP1","10084","protein_coding","","","","","No",0.00351,-0.21,-2.27,"13.74"
"ENSG00000213347.10","MXD3","83463","protein_coding","","","","","No",0.000403,-0.1,-2.07,"13.7"
"ENSG00000112306.7","RPS12","6206","protein_coding","","","","","No",0.000793,-0.09,-2.38,"13.66"
"ENSG00000185651.14","UBE2L3","7332","protein_coding","","","","","No",0.000527,-0.37,-1.61,"13.62"
"ENSG00000011260.13","UTP18","51096","protein_coding","","","","","No",0.00163,-0.23,-1.29,"13.55"
"ENSG00000100442.10","FKBP3","2287","protein_coding","","","","","No",0.0099,-0.09,-1.47,"13.53"
"ENSG00000069345.11","DNAJA2","10294","protein_coding","","","","","No",4.86e-07,-0.19,-0.95,"13.49"
"ENSG00000100220.11","RTCB","51493","protein_coding","","","","","No",0.00227,-0.34,-1.5,"13.39"
"ENSG00000126432.13","PRDX5","25824","protein_coding","","","","","No",3.05e-06,-0.42,-3.19,"13.32"
"ENSG00000164919.10","COX6C","1345","protein_coding","","","","","No",0.00113,-0.46,-2.1,"13.23"
"ENSG00000159111.12","MRPL10","124995","protein_coding","","","","","No",0.00657,-0.04,-1.78,"13.17"
"ENSG00000156261.12","CCT8","10694","protein_coding","","","","","No",3.06e-07,-0.15,-1.56,"13.11"
"ENSG00000108528.13","SLC25A11","8402","protein_coding","","","","","No",6.29e-07,-0.22,-2.53,"13.11"
"ENSG00000170445.12","HARS","3035","protein_coding","","","","","No",0.0012,-0.01,-1.13,"13.1"
"ENSG00000152234.15","ATP5F1A","498","protein_coding","","","","","No",2.24e-08,-0.75,-2.11,"13.04"
"ENSG00000178952.9","TUFM","7284","protein_coding","","","","","No",0.0024,-0.08,-2.36,"12.97"
"ENSG00000117118.9","SDHB","6390","protein_coding","","","","","No",2.4e-08,-0.86,-2.23,"12.9"
"ENSG00000132967.9","HMGB1P5",NA,"transcribed_processed_pseudogene","","","","","No",1.24e-05,-0.57,-1.93,"12.89"
"ENSG00000110955.8","ATP5F1B","506","protein_coding","","","","","No",7.28e-10,-0.98,-2.52,"12.68"
"ENSG00000139637.13","C12orf10","60314","protein_coding","","","","","No",0.000678,-0.07,-2.23,"12.59"
"ENSG00000014641.17","MDH1","4190","protein_coding","","","","","No",1.73e-10,-0.71,-2.43,"12.53"
"ENSG00000116898.11","MRPS15","64960","protein_coding","","","","","No",0.00689,-0.24,-1.71,"12.37"
"ENSG00000161939.18","RNASEK-C17orf49",NA,"protein_coding","","","","","No",0.000476,-0.21,-2.72,"12.36"
"ENSG00000258643.5","BCL2L2-PABPN1","100529063","protein_coding","","","","","No",0.00439,-0.11,-1.26,"12.29"
"ENSG00000175550.7","DRAP1","10589","protein_coding","","","","","No",0.000611,-0.14,-2.62,"12.23"
"ENSG00000232112.3","TMA7","51372","protein_coding","","","","","No",7.1e-05,-0.5,-2.16,"12.22"
"ENSG00000130725.7","UBE2M","9040","protein_coding","","","","","No",0.000146,-0.35,-2.32,"12.17"
"ENSG00000178125.14","PPP1R42","286187","protein_coding","","","","","No",0.000213,-0.45,-1.75,"12.11"
"ENSG00000101365.20","IDH3B","3420","protein_coding","","","","","No",9.62e-05,-0.61,-2.08,"12.1"
"ENSG00000176396.10","EID2","163126","protein_coding","","","","","No",0.00086,-0.11,-1.34,"11.97"
"ENSG00000273611.4","ZNHIT3","9326","protein_coding","","","","","No",0.00266,-0.27,-0.97,"11.93"
"ENSG00000173141.4","MRPL57","78988","protein_coding","","","","","No",0.00824,-0.01,-1.68,"11.78"
"ENSG00000279883.1","AC010480.1",NA,"TEC","","","","","Yes",7.98e-44,5.44,8.65,"11.76"
"ENSG00000162194.12","LBHD1","79081","protein_coding","","","","","No",0.00169,-0.14,-1.57,"11.7"
"ENSG00000150991.14","UBC","7316","protein_coding","","","","","No",1.39e-05,-0.5,-2.27,"11.67"
"ENSG00000125457.13","MIF4GD","57409","protein_coding","","","","","No",0.00941,-0.01,-2,"11.61"
"ENSG00000105393.15","BABAM1","29086","protein_coding","","","","","No",1.08e-07,-0.33,-1.89,"11.51"
"ENSG00000004059.10","ARF5","381","protein_coding","","","","","No",0.00625,-0.26,-2.41,"11.45"
"ENSG00000143612.18","C1orf43","25912","protein_coding","","","","","No",0.000918,-0.24,-1.48,"11.44"
"ENSG00000115484.14","CCT4","10575","protein_coding","","","","","No",5.75e-09,-0.6,-1.76,"11.31"
"ENSG00000204220.10","PFDN6","10471","protein_coding","","","","","No",0.000884,-0.18,-1.81,"11.25"
"ENSG00000116459.10","ATP5PB","515","protein_coding","","","","","No",2.83e-13,-0.77,-1.79,"11.13"
"ENSG00000103275.19","UBE2I","7329","protein_coding","","","","","No",8.93e-06,-0.1,-1.24,"11.07"
"ENSG00000171314.8","PGAM1","5223","protein_coding","","","","","No",1.02e-06,-0.53,-2.13,"11.07"
"ENSG00000149806.10","FAU","2197","protein_coding","","","","","No",0.000111,-0.44,-2.94,"10.94"
"ENSG00000171960.10","PPIH","10465","protein_coding","","","","","No",0.00549,-0.25,-1.58,"10.93"
"ENSG00000138663.8","COPS4","51138","protein_coding","","","","","No",4.8e-09,-0.56,-1.41,"10.88"
"ENSG00000108788.11","MLX","6945","protein_coding","","","","","No",0.00111,-0.25,-1.44,"10.85"
"ENSG00000138279.15","ANXA7","310","protein_coding","","","","","No",0.00291,-0.18,-1.52,"10.77"
"ENSG00000129559.12","NEDD8","4738","protein_coding","","","","","No",1.17e-12,-0.73,-2.08,"10.71"
"ENSG00000115234.10","SNX17","9784","protein_coding","","","","","No",0.00208,-0.16,-1.77,"10.65"
"ENSG00000086504.15","MRPL28","10573","protein_coding","","","","","No",0.00131,-0.42,-2.69,"10.64"
"ENSG00000119929.12","CUTC","51076","protein_coding","","","","","No",0.00586,-0.21,-1.69,"10.56"
"ENSG00000279029.1","AL353583.1",NA,"TEC","","","","","Yes",2.79e-47,3.53,6.39,"10.44"
"ENSG00000169976.6","SF3B5","83443","protein_coding","","","","","No",0.00501,-0.34,-2.94,"10.42"
"ENSG00000161203.13","AP2M1","1173","protein_coding","","","","","No",0.00111,-0.37,-2.15,"10.34"
"ENSG00000232388.4","SMIM26","388789","protein_coding","","","","","No",0.00395,-0.55,-2.22,"10.21"
"ENSG00000149792.8","MRPL49","740","protein_coding","","","","","No",0.00572,0,-1.4,"10.13"
"ENSG00000254505.9","CHMP4A","29082","protein_coding","","","","","No",0.00377,-0.1,-1.73,"10.1"
"ENSG00000145741.15","BTF3","689","protein_coding","","","","","No",0.000596,-0.04,-1.87,"10.07"
"ENSG00000129255.15","MPDU1","9526","protein_coding","","","","","No",0.000656,-0.05,-1.94,"10.06"
"ENSG00000184047.15","DIABLO","56616","protein_coding","","","","","No",0.00275,-0.19,-0.99,"9.98"
"ENSG00000172757.12","CFL1","1072","protein_coding","","","","","No",5.25e-05,-0.23,-2.27,"9.9"
"ENSG00000120265.16","PCMT1","5110","protein_coding","","","","","No",0.000511,-0.49,-1.8,"9.89"
"ENSG00000002919.14","SNX11","29916","protein_coding","","","","","No",0.000371,-0.02,-1.46,"9.86"
"ENSG00000168275.14","COA6","388753","protein_coding","","","","","No",2.1e-05,-0.67,-2.21,"9.85"
"ENSG00000100216.5","TOMM22","56993","protein_coding","","","","","No",0.000902,-0.2,-1.5,"9.8"
"ENSG00000054116.11","TRAPPC3","27095","protein_coding","","","","","No",8.03e-05,-0.19,-1.28,"9.67"
"ENSG00000171530.13","TBCA","6902","protein_coding","","","","","No",0.000143,-0.38,-1.61,"9.64"
"ENSG00000213619.9","NDUFS3","4722","protein_coding","","","","","No",1.08e-10,-0.64,-2.17,"9.64"
"ENSG00000249012.2","AC104819.1",NA,"unprocessed_pseudogene","","","","","Yes",3.84e-38,3.97,6.71,"9.52"
"ENSG00000167515.10","TRAPPC2L","51693","protein_coding","","","","","No",0.00238,-0.35,-2.09,"9.5"
"ENSG00000172428.10","COPS9","150678","protein_coding","","","","","No",0.000175,-0.4,-2.48,"9.47"
"ENSG00000106245.9","BUD31","8896","protein_coding","","","","","No",3.13e-10,-0.71,-1.99,"9.42"
"ENSG00000229117.8","RPL41","6171","protein_coding","","","","","No",6.47e-08,-0.24,-2.04,"9.37"
"ENSG00000127540.11","UQCR11","10975","protein_coding","","","","","No",0.00173,-0.49,-2.73,"9.36"
"ENSG00000165916.8","PSMC3","5702","protein_coding","","","","","No",2.34e-09,-0.41,-2.34,"9.33"
"ENSG00000132581.9","SDF2","6388","protein_coding","","","","","No",2.88e-05,-0.1,-1.37,"9.27"
"ENSG00000242372.6","EIF6","3692","protein_coding","","","","","No",0.0013,-0.02,-2.59,"9.25"
"ENSG00000154518.9","ATP5MC3","518","protein_coding","","","","","No",3.35e-11,-0.63,-2.59,"9.19"
"ENSG00000280219.1","AC093908.1",NA,"TEC","","","","","Yes",5.06e-42,2.97,4.62,"9.16"
"ENSG00000175203.15","DCTN2","10540","protein_coding","","","","","No",2.81e-09,-0.43,-1.68,"9.14"
"ENSG00000256950.2","AC069503.2",NA,"protein_coding","","","","","No",2.55e-06,-0.36,-1.92,"9.12"
"ENSG00000267855.5","NDUFA7","4701","protein_coding","","","","","No",0.000594,-0.11,-2.39,"9.08"
"ENSG00000143106.12","PSMA5","5686","protein_coding","","","","","No",7.14e-05,-0.43,-1.59,"9"
"ENSG00000249170.1","AC096713.1",NA,"processed_pseudogene","","","","","Yes",7.9e-32,5.57,8.55,"8.98"
"ENSG00000070761.7","CFAP20","29105","protein_coding","","","","","No",1.59e-05,-0.44,-1.61,"8.97"
"ENSG00000165678.20","GHITM","27069","protein_coding","","","","","No",2.09e-13,-0.84,-2.02,"8.87"
"ENSG00000226746.2","SMCR5","140771","antisense","","","","","Yes",2.29e-42,2.17,4.95,"8.86"
"ENSG00000279384.1","AC080188.2",NA,"TEC","","","","","Yes",3.89e-33,3.55,5.53,"8.85"
"ENSG00000267501.1","AC104365.2",NA,"lincRNA","","","","","Yes",3.53e-25,4.78,6.93,"8.75"
"ENSG00000110200.8","ANAPC15","25906","protein_coding","","","","","No",0.0014,-0.27,-1.8,"8.72"
"ENSG00000185608.8","MRPL40","64976","protein_coding","","","","","No",0.0056,-0.48,-2.04,"8.69"
"ENSG00000279757.1","AC132068.1",NA,"TEC","","","","","Yes",1.69e-33,3.7,6.67,"8.68"
"ENSG00000172500.12","FIBP","9158","protein_coding","","","","","No",0.00262,-0.51,-2.12,"8.65"
"ENSG00000142507.9","PSMB6","5694","protein_coding","","","","","No",9.68e-06,-0.58,-2.51,"8.64"
"ENSG00000229235.1","RPL37P18",NA,"processed_pseudogene","","","","","Yes",3.41e-33,4,6.69,"8.62"
"ENSG00000273557.1","AC008781.3",NA,"sense_intronic","","","","","Yes",6.83e-40,4.21,6.1,"8.52"
"ENSG00000131174.4","COX7B","1349","protein_coding","","","","","No",3.04e-05,-0.59,-2.28,"8.49"
"ENSG00000280365.1","AC021766.1",NA,"TEC","","","","","Yes",7.69e-33,3.14,6.27,"8.48"
"ENSG00000169567.11","HINT1","3094","protein_coding","","","","","No",7.47e-06,-0.35,-2.08,"8.46"
"ENSG00000170315.13","UBB","7314","protein_coding","","","","","No",1.46e-05,-0.67,-2.73,"8.43"
"ENSG00000087111.20","PIGS","94005","protein_coding","","","","","No",0.000498,-0.05,-1.47,"8.38"
"ENSG00000147684.7","NDUFB9","4715","protein_coding","","","","","No",4.21e-05,-0.3,-2.32,"8.38"
"ENSG00000143575.14","HAX1","10456","protein_coding","","","","","No",0.00178,-0.32,-1.75,"8.37"
"ENSG00000279652.1","Z82217.1",NA,"lincRNA","","","","","Yes",1.05e-67,2.36,5.75,"8.28"
"ENSG00000164051.13","CCDC51","79714","protein_coding","","","","","No",0.00683,-0.27,-2.04,"8.25"
"ENSG00000031698.12","SARS","6301","protein_coding","","","","","No",0.000204,-0.22,-1.46,"8.24"
"ENSG00000131143.8","COX4I1","1327","protein_coding","","","","","No",1.76e-10,-0.79,-2.76,"8.22"
"ENSG00000090273.13","NUDC","10726","protein_coding","","","","","No",0.00177,-0.23,-2.09,"8.07"
"ENSG00000004779.9","NDUFAB1","4706","protein_coding","","","","","No",1.85e-09,-0.5,-2.31,"8.07"
"ENSG00000126267.8","COX6B1","1340","protein_coding","","","","","No",0.00032,-0.42,-2.58,"8.07"
"ENSG00000279425.1","AC092279.2",NA,"TEC","","","","","Yes",5.24e-30,2.25,4.35,"7.95"
"ENSG00000129518.8","EAPP","55837","protein_coding","","","","","No",0.000667,-0.35,-1.31,"7.94"
"ENSG00000117862.11","TXNDC12","51060","protein_coding","","","","","No",0.00246,-0.17,-1.29,"7.94"
"ENSG00000132522.15","GPS2","2874","protein_coding","","","","","No",9.91e-06,-0.46,-1.96,"7.91"
"ENSG00000124614.13","RPS10","6204","protein_coding","","","","","No",0.00932,-0.17,-2.35,"7.9"
"ENSG00000166136.15","NDUFB8","4714","protein_coding","","","","","No",1.64e-10,-0.69,-2.51,"7.87"
"ENSG00000278941.1","SMG6-IT1",NA,"TEC","","","","","Yes",3.89e-19,2.64,6.22,"7.85"
"ENSG00000128789.20","PSMG2","56984","protein_coding","","","","","No",0.00233,-0.26,-1.46,"7.84"
"ENSG00000074319.12","TSG101","7251","protein_coding","","","","","No",0.000403,-0.37,-1.57,"7.83"
"ENSG00000215184.2","RPS12P16",NA,"processed_pseudogene","","","","","Yes",6.8e-24,2.9,5.86,"7.81"
"ENSG00000250624.1","MTCYBP43",NA,"unprocessed_pseudogene","","","","","Yes",6.76e-20,3.91,6.46,"7.8"
"ENSG00000148229.12","POLE3","54107","protein_coding","","","","","No",0.000706,-0.46,-1.65,"7.74"
"ENSG00000100142.14","POLR2F","5435","protein_coding","","","","","No",0.00365,-0.45,-2.11,"7.72"
"ENSG00000279129.1","AC046158.3",NA,"TEC","","","","","Yes",2.05e-28,1.74,5.69,"7.67"
"ENSG00000189099.11","PRSS48","345062","protein_coding","","","","","Yes",4.43e-40,3.4,6.79,"7.64"
"ENSG00000126698.10","DNAJC8","22826","protein_coding","","","","","No",5.6e-10,-0.48,-1.42,"7.62"
"ENSG00000091640.7","SPAG7","9552","protein_coding","","","","","No",1.26e-05,-0.45,-2.1,"7.62"
"ENSG00000232928.2","DDX3P1",NA,"processed_pseudogene","","","","","Yes",2.3e-27,2.91,5.42,"7.54"
"ENSG00000141759.14","TXNL4A","10907","protein_coding","","","","","No",0.000135,-0.24,-1.2,"7.51"
"ENSG00000260669.2","AL096870.2",NA,"processed_transcript","","","","","No",0.00184,-0.21,-1.87,"7.51"
"ENSG00000232392.1","AC002366.1",NA,"processed_pseudogene","","","","","Yes",1.29e-29,4.41,7.59,"7.48"
"ENSG00000230495.1","AL132765.1",NA,"processed_pseudogene","","","","","Yes",5.03e-27,3.13,5.28,"7.44"
"ENSG00000110700.6","RPS13","6207","protein_coding","","","","","No",0.00102,-0.04,-2.93,"7.44"
"ENSG00000258485.2","SRMP2",NA,"processed_pseudogene","","","","","Yes",8.71e-17,2.25,5.51,"7.42"
"ENSG00000272320.1","AL445309.1",NA,"antisense","","","","","Yes",6.67e-37,3.07,5.41,"7.41"
"ENSG00000159377.10","PSMB4","5692","protein_coding","","","","","No",0.00247,-0.34,-2.24,"7.35"
"ENSG00000128524.4","ATP6V1F","9296","protein_coding","","","","","No",0.0018,-0.35,-2.63,"7.33"
"ENSG00000272182.1","AC135507.1",NA,"antisense","","","","","No",7.54e-05,-0.61,-1.85,"7.3"
"ENSG00000259112.2","NDUFC2-KCTD14","100532726","protein_coding","","","","","No",7.19e-06,-0.81,-3.1,"7.28"
"ENSG00000173915.13","ATP5MD","84833","protein_coding","","","","","No",0.000585,-0.38,-2.09,"7.22"
"ENSG00000280375.1","AL359740.1",NA,"TEC","","","","","Yes",6.75e-31,3.57,5.65,"7.19"
"ENSG00000165283.15","STOML2","30968","protein_coding","","","","","No",0.000181,-0.26,-2.2,"7.16"
"ENSG00000167774.2","AC010323.1",NA,"protein_coding","","","","","No",0.00379,-0.34,-2.78,"7.16"
"ENSG00000257957.1","QRSL1P3",NA,"processed_pseudogene","","","","","Yes",4.95e-24,1.97,4.96,"7.08"
